Duration (in seconds),ConsentQuestion,PCSEItem_01,PCSEItem_02,PCSEItem_03,PCSEItem_04,PCSEItem_05,PCSEItem_06,PCSEItem_07,PCSEItem_08,PCSEItem_09,PCSEItem_10,PCSEItem_11,PCSEItem_12,PCSEItem_13,PCSEItem_14,PCSEItem_15,PCSEItem_16,PCSEItem_17,PCSEItem_18,PCSEItem_19,PCSEItem_20,PCSEItem_21,PCSEItem_22,PCSEItem_23,PCSEItem_24,PCSEItem_25,PCSEItem_26,PCSEItem_27,PCSEItem_28,ItemFeedback,PoliticalAffiliation,Education,Residency,Vote,Student
189,1,4,1,4,2,4,4,4,4,4,2,5,3,5,5,2,3,4,3,4,3,3,2,2,4,2,3,2,3,,Democrat ish,3,4,1,2
261,1,4,2,4,2,5,3,5,3,3,2,5,4,3,5,3,4,3,4,4,2,4,3,4,4,2,3,2,4,,Leftist,3,4,1,2
600,1,2,2,4,5,2,4,4,4,2,3,5,5,5,4,4,4,3,5,3,1,5,2,2,5,2,4,2,4,NA,Leftist,3,4,1,2
523,1,4,2,1,5,5,2,4,5,4,1,4,3,5,5,3,3,5,3,4,2,4,3,4,3,4,3,4,4,,Democrat / Independent ,5,7,1,2
1321,1,2,4,1,5,3,5,4,4,1,2,4,4,5,4,4,5,4,4,2,1,5,3,1,2,2,4,4,2,"""I often feel as though my opinions about sociopolitical events are not taken seriously."" is confusing...taken seriously by whom?
""Individual civic actions, like recycling and volunteering, add up to large scale changes in the United States."" This one is confusing because it's double barreled. I don't think recycling can add up to any change but volunteering might.
",Left,3,4,1,1
371,1,5,2,4,2,5,2,5,2,5,1,5,4,1,5,1,3,4,5,4,2,4,2,4,4,3,3,2,4,,Republican,5,7,1,2
285,1,4,4,3,2,3,4,4,4,4,2,5,3,4,5,3,4,2,5,5,2,5,3,4,4,2,1,2,2,,Democrat,3,7,2,2
925,1,4,1,4,3,5,3,4,4,3,1,5,2,4,4,3,5,3,5,5,2,4,4,4,4,3,2,3,3,"One of the items uses ""we"" while most of the other items use ""I"". Some items are very vague like ""Forces outside of my control dictate the state of the nation"" and ""I can help abolish injustice in the United States"", which made them more difficult to respond to.",Democrat,3,4,1,1
340,1,2,4,2,4,2,2,4,4,4,4,4,2,3,4,4,4,2,4,4,4,5,4,4,4,5,4,4,5,n/a,n/a,4,4,4,1
300,1,1,5,1,1,1,5,1,5,1,5,1,1,5,1,5,5,1,5,1,1,5,5,1,1,5,5,5,1,,none,4,7,4,2
278,1,1,4,1,2,4,3,4,4,2,3,4,4,4,3,5,4,3,2,3,2,2,3,2,2,4,5,5,4,na,NA,3,7,4,2
646,1,2,2,2,5,5,4,4,4,2,1,4,4,3,2,4,3,1,3,3,2,4,3,2,2,3,4,5,4,,,3,7,4,2
15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,1,1,2,4,4,4,5,4,4,3,4,4,2,4,4,3,3,3,5,4,2,5,2,3,1,2,5,4,2,,,3,4,1,1
414,1,3,3,1,2,4,4,4,4,4,2,4,4,3,4,4,3,4,3,3,3,4,3,4,2,3,5,3,3,,independent,,5,1,2
313,1,4,4,3,4,4,4,4,4,3,3,4,3,2,3,3,2,4,4,3,3,5,3,2,3,3,4,4,3,,Non,3,4,4,2
